客户号,客户姓名,证件号码,年龄,性别,婚姻状态,教育程度,职业类别,户籍,居住类型,车辆情况,保险缴纳,工作年限,个人年收入,信贷情况
0000999993841583,干驼偃,367327****09041416,33,男,未婚,本科,国有企业,江西,租房,无,有,10,56789,现在没有贷款
0000999993841594,瞿瞬汛,375658****09056904,34,男,已婚,大专,私营企业,山东,租房,无,无,14,57000,正在偿还
0000999993841606,季星截,529431****09068100,36,女,离异,大专,国有企业,上海,租房,无,无,16,57000,正在偿还
0000999993841617,越暖诘,367402****09297752,24,男,未婚,本科,私营企业,江西,租房,无,有,1,57000,正常还款
0000999993841628,杨幽疵,637424****05292498,24,男,已婚,大专,外资企业,青海,租房,无,无,4,57000,正在偿还
0000999993841639,巫军蜒,410063****06086712,24,男,未婚,本科,个体户,河南,租房,无,有,1,57000,现在没有贷款
0000999993841640,欧菲没,537461****12307502,28,男,已婚,本科,外资企业,上海,租房,无,有,5,57483,现在没有贷款
0000999993841651,祁段灰,328991****11151748,30,男,未婚,本科,私营企业,江苏,租房,无,有,7,57483,现在没有贷款
0000999993841662,别汉宜,370837****03291167,33,女,未婚,本科,私营企业,山东,租房,无,有,10,57483,现在没有贷款
0000999993841673,梅茁挠,514946****03181033,24,男,已婚,本科,私营企业,四川,租房,无,有,1,57483,现在没有贷款
0000999993841684,惠坊吕,216739****12098965,29,男,未婚,本科,私营企业,辽宁,租房,无,有,6,57483,现在没有贷款
0000999993841695,蒋光佣,617963****06216842,37,男,已婚,大专,私营企业,陕西,自购房,有,有,17,57483,现在没有贷款
0000999993841708,暴迪蔷,238947****05138264,25,女,未婚,大专,其他企业,黑龙江,租房,无,无,5,57500,现在没有贷款
0000999993841719,陆牢烫,503626****03202622,24,男,未婚,本科,私营企业,重庆,租房,无,有,1,57500,现在没有贷款
0000999993841720,权饶静,333631****10015152,38,男,已婚,本科,个体户,浙江,自购房,有,有,15,57500,现在没有贷款
0000999993841731,罗弦芭,411628****04076127,78,女,未婚,本科,私营企业,河南,租房,有,有,50,57500,正在偿还
0000999993841742,苍巫园,624837****02204139,31,男,未婚,大专,个体户,甘肃,租房,无,无,11,57500,正常还款
0000999993841753,黄用涝,452765****10074139,31,男,未婚,大专,其他企业,广西,租房,无,无,11,57500,正在偿还
0000999993841764,弘构哦,418355****04161299,31,男,已婚,大专,私营企业,河南,租房,无,无,11,57500,现在没有贷款
0000999993841775,钟蕾镀,137056****10252711,48,女,已婚,大专,私营企业,河北,租房,无,无,28,57500,正在偿还
0000999993841786,双冉园,212023****07314662,24,男,未婚,本科,私营企业,辽宁,自购房,有,有,1,57500,现在没有贷款
0000999993841797,谢周糖,357350****03189169,57,男,已婚,本科,私营企业,福建,租房,无,有,34,57600,现在没有贷款
0000999993841800,武粟芙,237632****08248848,62,女,已婚,本科,私营企业,黑龙江,自购房,有,有,39,57600,现在没有贷款
0000999993841811,殷香阳,231073****09098514,31,男,未婚,大专,私营企业,黑龙江,租房,无,无,11,57600,现在没有贷款
0000999993841822,席前筒,152843****03215613,31,男,未婚,大专,私营企业,内蒙古,租房,无,有,11,57600,现在没有贷款
0000999993841833,耿堂拐,315280****09046772,29,男,未婚,高中,私营企业,上海,租房,无,无,11,57600,现在没有贷款
0000999993841844,雷捞夭,228101****08084010,42,男,离异,本科,私营企业,吉林,自购房,有,有,19,57777,现在没有贷款
0000999993841855,祝崖擦,211792****09099716,49,男,离异,本科,私营企业,辽宁,租房,无,有,26,57777,现在没有贷款
0000999993841866,习梅蜗,117462****06029414,22,男,未婚,大专,私营企业,北京,租房,无,无,2,57777,正在偿还
0000999993841877,史灯凉,133127****02215682,29,女,未婚,高中,外资企业,河北,租房,无,无,11,57777,正常还款
0000999993841888,松程剐,144421****09147267,55,女,未婚,初中及以下,个体户,山西,租房,无,无,35,57777,正在偿还
0000999993841899,孔父兴,378689****06152736,29,男,未婚,高中,个体户,山东,租房,无,无,11,57777,现在没有贷款
0000999993841902,龙绽如,365860****10206918,30,男,未婚,大专,私营企业,江西,租房,无,无,10,58000,正在偿还
0000999993841913,边勇遣,218257****08242347,29,女,未婚,高中,外资企业,辽宁,租房,无,无,11,58000,正在偿还
0000999993841924,明伦姑,432911****12245628,24,男,未婚,本科,私营企业,湖南,租房,无,有,1,58000,正常还款
0000999993841935,武矢韩,635474****02277659,24,男,未婚,本科,外资企业,青海,租房,无,有,1,58000,正在偿还
0000999993841946,逮煽瘟,636752****09287982,24,男,已婚,本科,私营企业,青海,自购房,有,有,1,58000,现在没有贷款
0000999993841957,靳驮汉,117263****11214108,24,男,未婚,本科,个体户,北京,租房,无,无,1,58000,现在没有贷款
0000999993841968,喻勘茁,238940****10131534,24,男,未婚,本科,私营企业,黑龙江,租房,无,无,1,58000,现在没有贷款
0000999993841979,平首奄,620425****11213664,23,男,未婚,大专,私营企业,甘肃,租房,无,无,3,58000,现在没有贷款
0000999993841980,家辛揭,368617****10250149,25,男,未婚,大专,私营企业,江西,租房,无,无,5,58000,现在没有贷款
0000999993841991,花斗碌,549803****02032340,27,男,未婚,本科,私营企业,北京,租房,无,无,4,58417,现在没有贷款
0000999993842009,韶矩茨,212617****12047571,27,男,已婚,本科,私营企业,辽宁,自购房,有,有,4,58417,现在没有贷款
0000999993842010,红静奄,649013****01247450,29,男,已婚,本科,私营企业,宁夏,租房,无,无,6,58417,现在没有贷款
0000999993842021,梅牧膳,545952****10196152,30,男,未婚,大专,其他企业,北京,租房,无,无,10,58417,现在没有贷款
0000999993842032,王蓉到,349699****08040929,31,男,未婚,大专,外资企业,安徽,自购房,有,有,11,58417,现在没有贷款
0000999993842043,包捍优,133968****08231587,32,女,未婚,本科,私营企业,河北,租房,无,无,9,58417,正常还款
0000999993842054,仇逃匾,438428****12023998,33,女,未婚,本科,个体户,湖南,租房,无,无,10,58756,正在偿还
0000999993842065,窦邮煞,317108****04033588,40,男,未婚,本科,个体户,上海,租房,无,无,17,58756,现在没有贷款
0000999993842076,贲白际,442225****09157380,46,男,未婚,本科,个体户,广东,租房,无,无,23,58756,正在偿还
0000999993842087,谷俅炊,149652****09030335,49,男,未婚,本科,私营企业,山西,租房,无,无,26,58756,正在偿还
0000999993842098,危成粟,133753****11053548,53,男,未婚,本科,个体户,河北,租房,无,无,30,58756,正常还款
0000999993842101,聂醒书,111372****12091834,34,女,未婚,大专,其他企业,北京,租房,无,无,14,58756,正在偿还
0000999993842112,张谔肺,654835****05182925,36,男,未婚,大专,其他企业,北京,自购房,有,有,16,59000,现在没有贷款
0000999993842123,罗抖吻,535925****11179207,40,男,未婚,大专,外资企业,上海,租房,无,无,20,59000,现在没有贷款
0000999993842134,吉咏牢,437254****09251164,44,女,已婚,大专,其他企业,湖南,租房,无,无,24,59000,现在没有贷款
0000999993842145,朱钩虐,503044****09049963,30,女,未婚,大专,私营企业,重庆,租房,无,无,10,59000,现在没有贷款
0000999993842156,乌烙独,519354****02132424,24,男,未婚,本科,私营企业,四川,自购房,有,有,1,59000,现在没有贷款
0000999993842167,叶涤诠,438960****07085684,24,男,未婚,本科,私营企业,湖南,自购房,有,有,1,59000,现在没有贷款
0000999993842178,闻人撇,424977****06247427,24,男,未婚,本科,私营企业,湖北,自购房,有,有,1,59154,正在偿还
0000999993842189,计美父,339847****08193572,31,男,未婚,硕士及以上,私营企业,浙江,自购房,有,有,6,59154,正在偿还
0000999993842190,裘比狡,654000****05137290,29,男,已婚,本科,个体户,北京,租房,无,无,6,59154,正在偿还
0000999993842203,融芙谧,522549****04083849,33,男,未婚,初中及以下,私营企业,上海,租房,无,无,30,59154,正在偿还
0000999993842214,狄捞炭,321531****02016499,28,男,未婚,高中,私营企业,江苏,租房,无,无,10,59154,正在偿还
0000999993842225,韶吭闹,455768****01048789,29,男,未婚,初中及以下,私营企业,广西,自购房,有,有,17,59154,正常还款
0000999993842236,雷美拔,375476****07072342,29,男,已婚,高中,私营企业,山东,租房,无,无,11,59154,正在偿还
0000999993842247,堵蹬椭,351071****02049379,31,男,未婚,硕士及以上,其他企业,福建,租房,无,无,6,59154,现在没有贷款
0000999993842258,东苗锹,156865****05208833,71,男,已婚,初中及以下,私营企业,内蒙古,租房,无,无,15,59154,正在偿还
0000999993842269,唐普郴,372795****07272536,32,男,未婚,大专,其他企业,山东,租房,无,无,12,59205,正常还款
0000999993842270,温姿溉,140135****09063235,23,男,未婚,大专,私营企业,山西,自购房,有,有,3,59205,正在偿还
0000999993842281,谈纯肇,315638****09272779,28,男,未婚,大专,个体户,上海,租房,无,无,8,59205,现在没有贷款
0000999993842292,叶幌锹,432184****01146200,33,男,未婚,大专,外资企业,湖南,租房,无,无,13,59205,正在偿还
0000999993842305,空谭谷,410939****11127945,37,男,未婚,初中及以下,其他企业,河南,租房,无,无,12,59205,正在偿还
0000999993842316,邹撞贝,360568****06261501,40,男,未婚,大专,外资企业,江西,租房,无,无,20,59205,正常还款
0000999993842327,符扒蓉,548392****03077349,41,男,未婚,本科,私营企业,北京,租房,无,无,18,59321,正在偿还
0000999993842338,尹录位,462707****09222360,25,男,未婚,大专,个体户,海南,租房,无,无,5,59321,现在没有贷款
0000999993842349,梁沙克,626900****08182842,31,男,未婚,大专,外资企业,甘肃,租房,无,无,11,59321,现在没有贷款
0000999993842350,喻牙渤,410552****10191059,35,女,未婚,本科,私营企业,河南,租房,无,无,12,59321,现在没有贷款
0000999993842361,崔先帐,457033****10194504,42,男,未婚,本科,国有企业,广西,租房,无,有,19,59321,现在没有贷款
0000999993842372,益圆良,548268****12096087,63,女,未婚,硕士及以上,私营企业,北京,租房,无,无,38,59321,现在没有贷款
0000999993842383,车坪乘,641479****10301238,31,男,未婚,大专,私营企业,宁夏,租房,无,无,11,59321,现在没有贷款
0000999993842394,洪页胤,429234****09045103,36,男,未婚,大专,私营企业,湖北,租房,无,无,16,59321,现在没有贷款
0000999993842407,游资陌,326222****09066394,44,男,未婚,本科,私营企业,江苏,租房,无,有,21,59321,现在没有贷款
0000999993842418,弓梢陡,335275****09300284,28,男,未婚,高中,私营企业,浙江,租房,无,无,10,59520,现在没有贷款
0000999993842429,池谂荒,342455****07016221,31,男,未婚,大专,其他企业,安徽,租房,无,无,11,59520,现在没有贷款
0000999993842430,安都自,139866****09145366,26,男,已婚,大专,私营企业,河北,租房,无,无,6,59520,正在偿还
0000999993842441,段旧始,517536****11292042,33,男,已婚,大专,外资企业,四川,自购房,有,有,13,59520,正常还款
0000999993842452,聂佳掠,233578****09016512,29,男,未婚,高中,私营企业,黑龙江,租房,无,无,11,59520,正在偿还
0000999993842463,邓粱人,131088****06304879,22,男,未婚,大专,国有企业,河北,租房,无,有,2,59625,现在没有贷款
0000999993842474,李趁嗽,238941****03033526,32,男,未婚,大专,其他企业,黑龙江,租房,无,有,12,59625,正在偿还
0000999993842485,杨墓懈,320236****08131266,37,男,已婚,本科,外资企业,江苏,租房,无,有,14,59625,现在没有贷款
0000999993842496,宿粟缕,373689****12262120,23,男,未婚,大专,个体户,山东,自购房,有,有,3,59625,现在没有贷款
0000999993842509,益咏窗,221526****03314159,26,女,已婚,硕士及以上,私营企业,吉林,自购房,有,有,1,59625,现在没有贷款
0000999993842510,邱颐浊,228704****12237330,27,男,未婚,本科,私营企业,吉林,租房,无,有,4,59685,现在没有贷款
0000999993842521,隆众爬,656881****02092340,32,男,未婚,本科,外资企业,北京,租房,无,有,9,59685,现在没有贷款
0000999993842532,齐识非,626408****07235508,34,男,未婚,本科,私营企业,甘肃,租房,无,有,11,59685,现在没有贷款
0000999993842543,盛遮诔,127572****08289932,34,女,未婚,本科,外资企业,天津,租房,无,有,11,59685,现在没有贷款
0000999993842554,沃倌普,135898****10231859,39,男,未婚,本科,私营企业,河北,租房,无,有,16,59685,正在偿还
0000999993842565,羿亢斯,531531****07184304,29,男,未婚,硕士及以上,其他企业,上海,租房,无,有,4,59685,正常还款
0000999993842576,王潜缴,411684****08248418,29,男,已婚,高中,私营企业,河南,租房,无,无,11,60000,正常还款
0000999993842587,林尉诒,634196****04019544,31,男,未婚,大专,其他企业,青海,租房,无,无,11,60000,正在偿还
0000999993842598,堵推胰,444897****03316829,25,男,已婚,大专,私营企业,广东,自购房,有,有,5,60000,正在偿还
0000999993842600,米寻玖,457396****01022184,26,女,已婚,大专,私营企业,广西,租房,无,无,6,60000,正常还款
0000999993842611,戈梅巴,113997****01124728,27,女,已婚,大专,国有企业,北京,租房,无,无,7,60000,正在偿还
0000999993842622,后载蹲,123556****04223721,36,男,已婚,本科,私营企业,天津,租房,无,无,13,60000,现在没有贷款
0000999993842633,何毕液,455390****05285641,57,男,未婚,大专,私营企业,广西,租房,无,无,37,60000,现在没有贷款
0000999993842644,鱼贡畔,146635****08313178,31,男,未婚,大专,其他企业,山西,租房,无,无,11,60000,现在没有贷款
0000999993842655,李贩交,139691****06196507,31,男,未婚,大专,外资企业,河北,自购房,有,有,11,60000,正在偿还
0000999993842666,劳嘉执,368636****08077761,22,男,未婚,大专,私营企业,江西,租房,无,无,2,60000,正常还款
0000999993842677,韩爸群,235527****09042944,28,女,已婚,本科,私营企业,黑龙江,租房,无,无,5,60000,正在偿还
0000999993842688,罗合姥,451273****07231597,37,女,已婚,本科,外资企业,广西,租房,无,无,14,60000,现在没有贷款
0000999993842699,王抗资,616642****03053503,54,男,未婚,本科,外资企业,陕西,自购房,有,有,31,60000,正在偿还
0000999993842702,伏绷梢,136004****05313991,68,男,未婚,本科,私营企业,河北,租房,无,无,45,60000,正常还款
0000999993842713,缪露蔚,528656****06180456,37,男,已婚,本科,私营企业,上海,租房,无,无,14,60000,正在偿还
0000999993842724,冷韶科,520357****12221802,29,男,已婚,本科,国有企业,上海,租房,无,无,6,60000,现在没有贷款
0000999993842735,米牙藏,131766****12142863,30,男,未婚,本科,外资企业,河北,租房,无,无,7,60000,正在偿还
0000999993842746,郜侠漳,634233****03010759,37,男,未婚,本科,国有企业,青海,自购房,有,有,14,60000,正在偿还
0000999993842757,贺宰两,123813****04229364,31,男,未婚,大专,私营企业,天津,租房,有,无,11,60000,正常还款
0000999993842768,冉拼撑,321236****06157127,29,男,未婚,初中及以下,个体户,江苏,租房,无,无,17,60000,正在偿还
0000999993842779,东渍敢,646039****11127605,31,男,未婚,硕士及以上,其他企业,宁夏,租房,有,无,6,60000,现在没有贷款
0000999993842780,田成苑,529573****07036004,24,男,已婚,本科,私营企业,上海,租房,有,无,1,60000,现在没有贷款
0000999993842791,逄毁翘,343557****12183850,21,女,未婚,本科,私营企业,安徽,自购房,有,有,0,60000,现在没有贷款
0000999993842804,云即炼,425298****03297232,26,女,已婚,初中及以下,私营企业,湖北,租房,无,无,22,60000,现在没有贷款
0000999993842815,高郎力,335480****10202873,29,女,未婚,初中及以下,私营企业,浙江,租房,无,无,16,60000,现在没有贷款
0000999993842826,曾惭史,611733****10213014,35,男,已婚,初中及以下,私营企业,陕西,租房,无,无,12,60000,现在没有贷款
0000999993842837,喻剿峦,338451****07091381,39,男,未婚,本科,个体户,浙江,租房,无,无,16,60000,现在没有贷款
0000999993842848,刘恋倨,425996****03073638,48,女,已婚,高中,私营企业,湖北,租房,无,无,30,60000,正在偿还
0000999993842859,毕辰宋,131350****09040107,30,男,未婚,大专,国有企业,河北,租房,无,无,10,60000,正常还款
0000999993842860,季某胁,368352****08235124,29,女,未婚,高中,私营企业,江西,租房,无,无,11,60000,正在偿还
0000999993842871,易陶吕,658893****11205106,30,男,未婚,大专,个体户,新疆,自购房,有,有,10,60000,现在没有贷款
0000999993842882,倪臃凑,506659****05158799,48,女,已婚,大专,私营企业,重庆,租房,无,无,28,60000,正在偿还
0000999993842893,巴医琢,461754****12101379,52,男,未婚,大专,私营企业,海南,租房,无,无,32,60000,现在没有贷款
0000999993842906,姜衷煤,424715****11225147,32,女,未婚,大专,私营企业,湖北,租房,有,无,12,60000,现在没有贷款
0000999993842917,蓟曲德,432361****01018685,26,女,未婚,本科,私营企业,湖南,自购房,有,有,3,60000,现在没有贷款
0000999993842928,别傧晃,620821****03167657,49,男,已婚,硕士及以上,私营企业,甘肃,租房,无,无,24,60000,现在没有贷款
0000999993842939,宋镀俪,319583****04278692,23,男,未婚,大专,个体户,上海,租房,有,无,3,60000,现在没有贷款
0000999993842940,高烙唐,159615****11137393,36,男,离异,大专,私营企业,内蒙古,租房,无,无,16,60000,现在没有贷款
0000999993842951,王景牟,541121****10268983,30,男,未婚,大专,私营企业,西藏,租房,有,无,10,60000,现在没有贷款
0000999993842962,成门爸,231959****01194099,31,男,未婚,大专,私营企业,黑龙江,租房,无,无,11,60000,现在没有贷款
0000999993842973,晁屠勇,659839****12299622,30,男,未婚,大专,外资企业,新疆,租房,有,无,10,60000,正在偿还
0000999993842984,郁艺炕,431334****06260857,29,男,未婚,初中及以下,私营企业,湖南,自购房,有,有,18,60000,正常还款
0000999993842995,周牟泵,539882****07062527,37,男,已婚,本科,私营企业,上海,自购房,有,有,14,60000,现在没有贷款
0000999993843002,鲍沼图,326651****06224370,36,男,已婚,硕士及以上,外资企业,江苏,自购房,有,有,11,60000,正在偿还
0000999993843013,白鄙业,345788****09215391,30,男,未婚,大专,外资企业,安徽,自购房,有,有,10,60000,正在偿还
0000999993843024,赵棺攀,653202****04266044,26,男,未婚,硕士及以上,私营企业,新疆,自购房,有,有,1,60000,正常还款
0000999993843035,骆繁香,632372****09103303,30,男,已婚,本科,私营企业,青海,租房,无,无,7,60000,正在偿还
0000999993843046,师进仔,132896****06099813,32,女,已婚,本科,国有企业,河北,自购房,有,有,9,60000,现在没有贷款
0000999993843057,龚傥拼,343924****02140597,35,女,未婚,本科,私营企业,安徽,自购房,有,有,12,60000,现在没有贷款
0000999993843068,祖磕嗣,424503****12310053,35,男,离异,本科,外资企业,湖北,自购房,有,有,12,60000,现在没有贷款
0000999993843079,彭然居,110920****04301567,36,男,未婚,本科,个体户,北京,租房,无,有,13,60000,现在没有贷款
0000999993843080,于腥被,353743****06049308,37,男,未婚,初中及以下,私营企业,福建,租房,无,无,15,60000,现在没有贷款
0000999993843091,班闲砸,130296****03049356,38,男,已婚,初中及以下,私营企业,河北,租房,无,无,27,60000,现在没有贷款
0000999993843104,葛梁浪,429817****05217742,42,男,未婚,高中,外资企业,湖北,租房,无,无,24,60000,现在没有贷款
0000999993843115,籍怕灿,441111****05024283,44,男,未婚,本科,国有企业,广东,租房,无,有,21,60000,现在没有贷款
0000999993843126,鱼谢站,337920****03112277,44,男,未婚,本科,私营企业,浙江,租房,无,有,21,60000,现在没有贷款
0000999993843137,颜莲,365043****05180152,46,男,已婚,本科,个体户,江西,租房,无,有,23,60000,正常还款
0000999993843148,荆呵颇,628790****06302253,25,男,未婚,大专,私营企业,甘肃,租房,有,有,5,60000,正在偿还
0000999993843159,胡良冈,130654****08123375,30,男,已婚,大专,私营企业,河北,租房,有,有,10,60000,现在没有贷款
0000999993843160,容伤站,223540****05295795,29,男,未婚,高中,私营企业,吉林,租房,无,无,11,60000,正常还款
0000999993843171,乐妊图,319204****09305279,41,男,未婚,大专,外资企业,上海,自购房,有,有,21,60000,正在偿还
0000999993843182,姬袒固,426054****11061515,32,男,未婚,大专,私营企业,湖北,租房,无,有,12,60000,现在没有贷款
0000999993843193,熊久衷,318556****12217054,30,女,已婚,硕士及以上,其他企业,上海,租房,无,有,5,60000,现在没有贷款
0000999993843206,宣瞎胺,131181****10166164,31,男,未婚,大专,私营企业,河北,租房,无,有,11,60000,现在没有贷款
0000999993843217,蔺人先,534393****04070204,22,男,未婚,本科,个体户,上海,租房,无,有,0,60000,现在没有贷款
0000999993843228,褚到涟,319807****02160089,31,男,未婚,硕士及以上,个体户,上海,自购房,有,有,6,60000,现在没有贷款
0000999993843239,柯茨蛊,230931****03161381,36,男,已婚,硕士及以上,其他企业,黑龙江,租房,有,有,11,60000,现在没有贷款
0000999993843240,官芽,648389****08023825,25,男,未婚,大专,私营企业,宁夏,租房,有,有,5,60000,正在偿还
0000999993843251,于侄们,634670****03136480,30,男,未婚,大专,私营企业,青海,自购房,有,有,10,60000,正在偿还
0000999993843262,蓟迪怀,452228****09155757,24,男,已婚,本科,私营企业,广西,自购房,有,有,1,60000,正在偿还
0000999993843273,倪浩易,511297****03195578,26,男,未婚,本科,私营企业,四川,租房,无,有,3,60000,正在偿还
0000999993843284,宰孜拇,338320****12107018,29,男,未婚,本科,私营企业,浙江,租房,无,有,6,60000,正在偿还
0000999993843295,欧铰衫,338962****09070252,41,男,未婚,本科,外资企业,浙江,租房,无,有,18,60000,正常还款
0000999993843308,樊母歌,615094****12125282,25,男,未婚,大专,私营企业,陕西,租房,无,无,5,60000,正在偿还
0000999993843319,姬唐梅,532067****01045285,32,男,未婚,本科,个体户,上海,自购房,有,有,9,60000,现在没有贷款
0000999993843320,苏饰邢,355767****05185020,37,女,已婚,本科,个体户,福建,租房,无,有,14,60000,正在偿还
0000999993843331,幸戏进,135547****05054119,30,男,未婚,大专,外资企业,河北,租房,无,无,10,60000,正常还款
0000999993843342,于量傩,150630****09308555,29,男,未婚,高中,个体户,内蒙古,自购房,有,有,11,60000,正在偿还
0000999993843353,喻缘荡,538522****05289817,25,男,未婚,大专,国有企业,上海,租房,无,无,5,60000,现在没有贷款
0000999993843364,宫白崖,533461****07011203,26,女,已婚,大专,私营企业,上海,自购房,有,有,6,60000,正在偿还
0000999993843375,赵姓驶,640755****12161707,29,男,未婚,本科,私营企业,宁夏,租房,无,有,6,60000,正在偿还
0000999993843386,桂晌洞,542430****11164343,25,男,已婚,高中,私营企业,西藏,租房,无,无,7,60000,正常还款
0000999993843397,闵恢蛹,416458****05215125,51,男,未婚,大专,国有企业,河南,租房,无,无,31,60260,正在偿还
0000999993843400,钮葡擞,151417****10243236,31,男,未婚,大专,私营企业,内蒙古,租房,无,无,11,60260,现在没有贷款
0000999993843411,孔驶诽,642657****02116216,32,女,未婚,大专,国有企业,宁夏,租房,无,无,12,60260,现在没有贷款
0000999993843422,宓剂,611267****01166866,41,男,未婚,本科,私营企业,陕西,租房,无,无,18,60260,现在没有贷款
0000999993843433,闻投俚,116464****11114858,49,女,离异,大专,私营企业,北京,租房,无,无,29,60260,现在没有贷款
0000999993843444,卞载伺,449844****10117063,26,男,已婚,硕士及以上,私营企业,广东,租房,无,无,1,60260,现在没有贷款
0000999993843455,赵焙截,438193****06187338,77,男,已婚,硕士及以上,其他企业,湖南,租房,有,有,50,60676,现在没有贷款
0000999993843466,辛奥问,230014****03131323,30,男,未婚,大专,私营企业,黑龙江,租房,无,无,10,60676,现在没有贷款
0000999993843477,左探,650406****06018837,31,男,离异,大专,私营企业,新疆,自购房,有,有,11,60676,现在没有贷款
0000999993843488,褚汛琅,524180****07207740,32,男,已婚,本科,外资企业,上海,租房,无,无,9,60676,现在没有贷款
0000999993843499,晁拐庞,454399****06010963,32,女,已婚,本科,外资企业,广西,租房,无,无,9,60676,现在没有贷款
0000999993843502,柯了贩,459882****03143064,40,女,已婚,硕士及以上,其他企业,广西,租房,无,无,15,60676,正在偿还
0000999993843513,濮荣蕴,418177****10040196,45,男,未婚,硕士及以上,其他企业,河南,自购房,有,有,20,60676,正常还款
0000999993843524,凤谴谭,637429****04284139,30,男,未婚,大专,私营企业,青海,租房,无,无,10,60676,正在偿还
0000999993843535,邰耸拱,142465****09110698,26,女,已婚,本科,私营企业,山西,租房,无,无,3,60676,现在没有贷款
0000999993843546,孟疽指,456191****02228967,31,男,已婚,硕士及以上,外资企业,广西,租房,无,无,6,60696,正在偿还
0000999993843557,高人瓮,317781****09220523,29,男,未婚,本科,个体户,上海,租房,无,无,6,60696,现在没有贷款
0000999993843568,巩偷浩,137580****11182694,31,女,未婚,本科,私营企业,河北,自购房,有,有,8,60696,现在没有贷款
0000999993843579,程拷孜,462612****01304480,33,男,已婚,硕士及以上,私营企业,海南,租房,无,无,8,60696,现在没有贷款
0000999993843580,武谐北,625017****11209703,47,女,未婚,硕士及以上,私营企业,甘肃,租房,无,无,22,60696,现在没有贷款
0000999993843591,郎自吐,428824****03241183,50,男,已婚,本科,国有企业,湖北,自购房,有,有,27,60696,现在没有贷款
0000999993843603,左捶勒,519721****08247180,31,男,未婚,硕士及以上,私营企业,四川,租房,无,无,6,60696,现在没有贷款
0000999993843614,戈孙噶,355875****11076399,36,男,已婚,本科,个体户,福建,租房,无,无,13,60696,现在没有贷款
0000999993843625,奚乖压,624459****11102553,30,男,未婚,大专,私营企业,甘肃,租房,无,无,10,60696,现在没有贷款
0000999993843636,赖职昧,318525****07094256,31,男,未婚,硕士及以上,私营企业,上海,自购房,有,有,6,60800,正在偿还
0000999993843647,艾佳任,121739****01246738,23,男,未婚,大专,私营企业,天津,租房,无,有,3,60800,正常还款
0000999993843658,蓝闷钩,360221****10018168,37,男,已婚,初中及以下,个体户,江西,租房,无,无,16,60800,正在偿还
0000999993843669,邰苏兹,462141****08100912,46,男,离异,本科,私营企业,海南,租房,无,有,23,60800,现在没有贷款
0000999993843670,杨砂喜,224973****04050589,19,男,未婚,大专,国有企业,吉林,自购房,有,有,0,60800,正在偿还
0000999993843681,蓬闻恢,548514****04114551,39,男,未婚,初中及以下,个体户,北京,租房,无,无,50,60800,正在偿还
0000999993843692,于倮陈,136434****10195603,23,男,未婚,大专,外资企业,河北,租房,有,有,3,60837,正常还款
0000999993843705,申舱驶,651497****12187648,31,男,未婚,大专,个体户,北京,租房,有,有,11,60837,正在偿还
0000999993843716,纪喜济,131834****05310071,24,男,已婚,本科,私营企业,河北,租房,无,有,1,60837,现在没有贷款
0000999993843727,贲狄裂,516712****02064837,26,女,未婚,本科,个体户,四川,租房,无,有,3,60837,现在没有贷款
0000999993843738,曾忌炒,223096****02113190,28,男,未婚,本科,私营企业,吉林,租房,无,有,5,60837,现在没有贷款
0000999993843749,戴闹兴,649719****01183357,24,男,已婚,高中,私营企业,宁夏,租房,无,无,6,60840,现在没有贷款
0000999993843750,金帽鹊,632369****07304782,24,女,已婚,大专,个体户,青海,租房,无,无,4,60840,现在没有贷款
0000999993843761,简扇顿,351587****03149211,27,男,已婚,大专,私营企业,福建,租房,无,无,7,60840,现在没有贷款
0000999993843772,甄光佣,112246****04102554,30,女,未婚,大专,私营企业,北京,租房,无,无,10,60840,现在没有贷款
0000999993843783,黎棠芈,635552****11137694,23,男,已婚,大专,私营企业,青海,租房,无,有,3,60840,现在没有贷款
0000999993843794,柳院视,520099****04285626,36,男,已婚,本科,私营企业,贵州,租房,无,有,13,60840,现在没有贷款
0000999993843807,荣叭蓟,338494****09238707,43,男,已婚,本科,国有企业,浙江,租房,无,有,20,60840,现在没有贷款
0000999993843818,匡谛匆,423515****05218289,30,男,未婚,大专,外资企业,湖北,自购房,有,有,10,60840,正常还款
0000999993843829,于澈耸,531675****03077531,39,女,已婚,硕士及以上,私营企业,贵州,租房,无,有,14,60840,正在偿还
0000999993843830,成辛疽,336809****11216760,39,女,未婚,本科,私营企业,浙江,租房,无,有,16,61391,现在没有贷款
0000999993843841,葛凹毒,423614****10294961,28,男,未婚,高中,私营企业,湖北,租房,无,无,10,61391,正在偿还
0000999993843852,司笛头,456560****11077797,30,男,未婚,大专,国有企业,广西,自购房,有,有,10,61391,正在偿还
0000999993843863,时屹靠,357807****01029860,31,女,未婚,大专,私营企业,福建,租房,无,无,11,61391,正常还款
0000999993843874,江赶奈,642854****09117235,40,女,未婚,大专,私营企业,宁夏,租房,无,无,20,61391,正在偿还
0000999993843885,居颗当,446818****09305753,64,女,已婚,大专,私营企业,广东,租房,无,无,44,61391,现在没有贷款
0000999993843896,邬怯阳,211706****08233452,30,男,未婚,大专,个体户,辽宁,租房,有,有,10,61391,现在没有贷款
0000999993843909,董琴筒,211374****01130265,36,男,离异,本科,私营企业,辽宁,租房,无,有,13,61391,现在没有贷款
